,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
157,158,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),90%,2272.0,0.607,2048.0,32768.0,,,,89.96,61.63,,,93.63,67.54,69.09,88.45
158,159,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),90%,,,2048.0,32768.0,,,,88.3,63.66,,,92.04,67.33,69.14,87.61
159,160,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),90%,14436.0,7.071,3584.0,8192.0,,,,79.19,61.94,,,95.27,68.01,70.89,90.55
160,161,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),90%,,,2048.0,32768.0,,,,92.5,61.76,,,88.39,67.66,67.24,86.64
161,162,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),92%,1885.0,0.494,896.0,512.0,,,,90.14,59.34,,,91.38,67.6,62.08,84.15
162,163,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,12865.0,3.227,2048.0,4096.0,,,,90.34,60.25,,69.81,86.52,80.51,49.62,82.39
163,164,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,67.77,56.8,47.9,,,89.69,,89.88,81.47
164,165,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),90%,27125.0,7.11,4096.0,32768.0,,,,89.45,61.82,,,92.79,,68.1,86.74
165,166,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,,,,82.06,56.37,,,91.97,,54.55,84.62
166,167,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),96%,284.0,0.149,768.0,8192.0,,,,66.03,50.8,,,88.98,,53.69,77.06
167,168,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96%,13483.0,7.069,3584.0,32768.0,,,,,,2.63,,,,66.48,
168,169,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,,,,81.59,56.0,,,91.95,,50.68,84.27
169,170,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),99%,2272.0,0.596,1024.0,2048.0,,,,83.32,55.39,,,88.37,,75.78,84.81
170,171,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),90%,7672.0,4.022,2560.0,8192.0,,,,91.12,73.02,,,88.48,,49.76,83.78
171,172,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,64.06,57.27,48.32,,,90.38,,83.63,82.55
172,173,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),90%,3282.0,1.721,2560.0,8192.0,,,,90.14,68.49,,,89.98,,49.24,83.41
173,174,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,,,68.06,58.92,47.47,,,82.52,,88.52,76.07
174,175,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),96%,91.0,0.048,384.0,8192.0,,,,62.74,50.15,,,88.85,,50.49,75.35
175,176,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,86.0,0.023,1024.0,512.0,,,,69.9,50.33,,,91.01,,47.35,82.67
176,177,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),90%,1137.0,0.596,1024.0,8192.0,,,,90.53,65.02,,,89.13,,46.64,82.33
177,178,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,,,,4.0,,,,66.02,
178,179,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,59.94,55.96,48.21,,,89.05,,74.83,81.7
179,180,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),96%,2944.0,1.543,1536.0,32768.0,,,,,,0.09,,,,62.96,
180,181,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,,,54.55,54.36,47.89,,,89.42,,59.47,78.38
181,182,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),90%,,6.918,2048.0,32000.0,,,,95.1,49.43,,,89.6,,69.02,83.49
182,183,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),92%,27625.0,7.111,4096.0,32768.0,,,,89.02,55.27,,,89.79,,59.09,80.14
183,184,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),99%,576.0,0.156,768.0,2048.0,,,,84.79,56.37,,,87.46,,52.32,81.35
184,185,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1536.0,16000.0,,,54.55,54.03,48.87,,,89.05,,59.47,81.7
185,186,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,253.0,0.066,768.0,512.0,,,,76.14,51.55,,,90.46,,50.65,81.15
186,187,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),92%,942.0,0.494,896.0,512.0,,,,87.66,,,,91.02,66.69,60.2,81.33
187,188,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,119.0,0.031,1024.0,,,,,63.65,35.93,,,86.7,,31.85,71.44
188,189,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),99%,284.0,0.149,768.0,8192.0,,,,78.07,,,,90.37,,65.4,82.15
189,190,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87.0,0.023,384.0,512.0,,,,48.07,12.31,,2.4,93.84,75.46,35.4,67.27
190,191,[bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,128.0,,,67.99,37.56,37.75,,,,73.5,51.39,39.73
191,192,[Hinvec](https://huggingface.co/Sailesh97/Hinvec),96%,3715.0,0.94,2048.0,2048.0,,,54.8,62.1,15.75,,,64.48,53.36,19.47,6.98
192,193,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),99%,1278.0,0.335,1024.0,4096.0,,,32.02,75.91,50.17,,,,,62.74,
193,194,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,,,66.86,55.03,36.22,,,,80.94,50.45,
194,195,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,67.55,52.95,36.45,,,,,64.01,
195,196,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,63.81,51.14,35.7,,,,,58.65,
196,197,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,,,68.78,59.84,37.21,,,,,62.17,
197,198,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99%,582.0,0.305,768.0,8192.0,,,,60.09,24.11,,0.72,,82.37,68.92,
198,199,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,66.3,58.35,34.79,,,,,82.94,
199,200,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),97%,418.0,0.109,768.0,512.0,,,,,,,,,,61.91,
200,201,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,678.0,0.178,4096.0,75.0,,,72.03,56.03,30.68,,,,,45.98,
