,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[KaLM-Embedding-Gemma3-12B-2511](https://kalm-embedding.github.io/),73%,44884.0,11.76,3840.0,32768.0,72.32,62.51,83.76,77.88,55.77,5.49,33.03,84.73,67.27,75.66,79.02
1,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),99%,28629.0,7.505,4096.0,32768.0,69.46,61.09,81.72,73.21,54.35,10.82,29.86,83.97,67.78,68.69,79.41
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),99%,14433.0,7.567,4096.0,32768.0,70.58,61.69,80.89,74.0,57.65,10.06,28.66,86.4,65.63,70.88,81.08
3,4,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),99%,,,3072.0,2048.0,68.37,59.59,79.28,71.82,54.59,5.18,29.16,83.63,65.58,67.71,79.4
4,5,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),99%,7671.0,4.022,2560.0,32768.0,69.45,60.86,79.36,72.33,57.15,11.56,26.77,85.05,65.08,69.6,80.86
5,6,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),89%,,,2048.0,32768.0,70.26,61.34,78.68,76.75,56.78,-0.02,46.16,85.5,66.24,66.05,75.92
6,7,[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),99%,14433.0,7.567,4096.0,32768.0,,60.18,80.35,66.68,55.68,8.9,25.23,85.12,67.64,70.77,81.27
7,8,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),99%,1136.0,0.596,1024.0,32768.0,64.34,56.01,72.23,66.83,52.33,5.09,24.59,80.83,61.41,64.65,76.17
8,9,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040.0,7.069,3584.0,32768.0,62.51,55.93,73.92,61.55,52.77,4.94,25.48,85.13,65.55,60.08,73.98
9,10,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99%,1068.0,0.56,1024.0,514.0,63.22,55.08,80.13,64.94,50.75,-0.4,22.91,80.86,62.61,57.12,76.81
10,11,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),97%,7671.0,4.022,2560.0,32768.0,63.52,54.81,69.25,66.94,52.8,-0.55,25.41,80.92,61.88,62.21,74.4
11,12,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),99%,1155.0,0.308,768.0,2048.0,61.15,54.31,64.4,60.9,51.17,5.61,24.82,81.4,63.25,62.49,74.73
12,13,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99%,13813.0,7.24,4096.0,32768.0,60.92,53.74,70.53,61.83,49.75,3.45,22.77,79.94,63.78,58.31,73.33
13,14,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99%,89079.0,57.92,32768.0,32768.0,60.49,53.31,68.17,61.55,50.16,2.44,24.43,79.73,62.61,57.54,73.16
14,15,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,62.16,54.25,70.73,64.64,47.84,4.08,22.8,81.14,61.22,59.68,76.11
15,16,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99%,13563.0,7.111,4096.0,32768.0,60.25,53.08,70.58,60.31,50.57,-0.62,22.2,81.12,63.82,55.75,74.02
16,17,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96%,13563.0,7.111,4096.0,32768.0,59.8,52.83,68.84,59.01,53.65,-1.8,25.19,78.58,63.04,57.93,71.04
17,18,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,58.46,51.91,60.52,58.54,45.87,6.5,21.7,75.97,64.16,64.01,69.97
18,19,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),90%,5887.0,1.54,8960.0,131072.0,56.53,49.96,58.56,56.69,49.71,0.21,21.84,78.47,61.37,52.84,69.91
19,20,[bge-m3](https://huggingface.co/BAAI/bge-m3),98%,2167.0,0.568,1024.0,8194.0,59.56,52.18,79.11,60.35,40.88,-3.11,20.1,80.76,62.79,54.6,74.12
20,21,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,2136.0,0.56,1024.0,514.0,,51.9,76.1,60.34,43.86,-3.48,21.4,78.72,61.44,55.69,72.98
21,22,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99%,1092.0,0.572,1024.0,8194.0,58.37,50.66,65.25,58.77,45.65,-1.34,18.38,79.27,57.09,55.76,77.13
22,23,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),99%,2166.0,0.568,1024.0,8192.0,57.03,49.95,64.08,57.39,42.76,-2.47,18.94,76.71,63.67,58.36,70.11
23,24,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),98%,2166.0,0.568,1024.0,8194.0,,50.43,72.16,58.45,40.35,-2.5,19.56,78.51,59.41,53.26,74.69
24,25,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),99%,1061.0,0.278,768.0,514.0,57.02,49.83,69.44,58.21,41.82,-2.65,20.16,77.15,60.18,52.72,71.44
25,26,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99%,13563.0,7.111,4096.0,32768.0,,52.78,70.34,62.03,50.6,0.94,24.77,77.89,64.37,58.51,65.62
26,27,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),99%,449.0,0.118,384.0,512.0,56.36,49.46,69.4,56.97,41.3,-2.45,19.29,77.22,60.43,50.91,72.08
27,28,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96%,13563.0,7.111,4096.0,32768.0,,52.58,70.0,59.79,51.84,0.16,24.55,77.66,64.19,59.68,65.39
28,29,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,,52.23,70.51,62.75,46.96,-1.89,22.74,77.27,64.07,60.54,67.12
29,30,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,,49.47,60.12,57.93,44.82,-1.17,23.97,75.07,60.29,56.04,68.2
30,31,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),96%,530.0,0.278,768.0,512.0,53.74,47.22,58.48,54.09,41.41,-1.77,17.67,75.71,59.89,52.2,67.27
31,32,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),97%,1370.0,0.359,1024.0,8194.0,51.64,45.28,63.38,53.19,40.05,-2.65,18.6,80.58,51.53,43.3,59.53
32,33,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),99%,1165.0,0.305,768.0,8192.0,,46.89,53.73,54.38,42.24,-3.34,17.04,74.86,61.67,54.83,66.58
33,34,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,2136.0,0.56,1024.0,514.0,,45.83,60.89,56.67,40.22,1.38,19.32,83.35,48.31,31.72,70.6
34,35,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,,50.77,60.03,57.66,44.98,1.35,23.02,76.18,63.36,61.79,68.52
35,36,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,512.0,51.98,45.17,52.06,55.06,40.19,-1.14,16.4,81.15,53.37,39.76,69.66
36,37,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,1796.0,0.471,768.0,512.0,52.07,45.65,76.35,54.6,38.08,-3.0,20.12,75.97,50.2,33.17,65.35
37,38,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),90%,1660.0,0.435,4096.0,8192.0,48.32,42.11,39.24,49.2,46.2,-0.7,18.22,74.51,46.49,42.58,63.23
38,39,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98%,2136.0,0.56,1024.0,514.0,,51.66,73.55,62.26,45.92,-3.04,22.36,77.59,58.98,57.62,69.71
39,40,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,29449.0,7.099,4096.0,32768.0,,50.71,60.8,57.75,52.26,5.36,23.45,83.05,58.69,56.85,58.15
40,41,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),96%,204.0,0.107,384.0,512.0,51.81,45.47,54.08,52.57,40.38,-2.96,17.33,75.29,58.48,48.08,65.98
41,42,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),90%,14975.0,7.85,4096.0,32768.0,,48.02,57.84,56.44,40.8,1.04,18.63,75.93,63.82,58.07,59.65
42,43,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,1278.0,0.335,1024.0,514.0,46.64,40.32,33.8,49.8,39.79,-0.99,15.85,73.92,48.76,40.06,61.87
43,44,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,,49.23,65.03,58.23,44.79,-2.45,20.09,73.84,61.98,56.99,64.61
44,45,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,1796.0,0.471,768.0,512.0,,46.63,70.33,55.08,39.59,-1.77,19.95,80.8,51.59,36.98,67.11
45,46,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),90%,3802.0,1.565,8960.0,131072.0,,49.8,60.63,57.75,53.63,0.26,22.66,78.14,59.75,54.37,61.02
46,47,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639.0,0.335,1024.0,512.0,45.91,39.45,25.74,49.74,42.49,-1.95,18.1,72.56,47.6,40.3,60.46
47,48,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278.0,0.335,1024.0,512.0,,39.45,26.84,49.66,41.87,-2.14,17.17,72.82,48.35,39.74,60.75
48,49,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),90%,14975.0,7.85,4096.0,32768.0,,46.55,48.9,56.19,42.86,3.02,18.95,72.88,64.29,53.16,58.67
49,50,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,418.0,0.109,768.0,512.0,45.98,39.33,30.95,49.46,40.1,-3.94,16.06,72.63,47.5,40.49,60.73
50,51,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,449.0,0.118,384.0,512.0,48.73,42.37,44.56,51.66,38.33,-1.31,14.93,78.99,50.97,36.61,66.58
51,52,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98%,1061.0,0.278,768.0,514.0,,49.41,69.98,58.82,44.59,-3.84,20.68,74.51,57.2,55.67,67.09
52,53,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),99%,1242.0,0.335,1024.0,512.0,45.08,39.06,26.65,48.02,41.42,-2.29,17.67,72.04,48.84,39.0,60.14
53,54,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,1061.0,0.278,768.0,514.0,,44.56,55.9,54.64,38.25,-1.05,14.99,81.16,54.27,38.47,64.41
54,55,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),99%,2136.0,0.56,1024.0,514.0,,37.95,26.86,51.99,42.92,-3.39,17.08,73.41,39.82,33.33,59.49
55,56,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),83%,1061.0,0.278,768.0,514.0,,43.52,47.63,51.02,32.38,-1.96,16.63,78.71,50.01,34.66,82.58
56,57,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),97%,489.0,0.128,256.0,,47.23,40.27,40.72,52.36,37.63,-2.08,15.95,71.39,47.39,37.86,61.23
57,58,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776.0,1.543,8960.0,32768.0,,49.96,62.51,56.47,50.74,0.74,24.02,77.88,58.64,59.52,59.09
58,59,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),98%,449.0,0.118,384.0,512.0,,48.46,69.48,57.45,43.13,-3.36,19.17,74.09,57.49,51.68,66.96
59,60,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),99%,413.0,0.108,1024.0,,47.24,41.38,50.62,48.6,30.67,-1.24,14.74,74.34,49.45,41.21,64.02
60,61,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),96%,522.0,0.137,768.0,8192.0,44.1,37.84,27.09,48.51,39.74,-1.85,16.79,71.9,44.84,34.09,59.45
61,62,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),99%,390.0,0.109,768.0,512.0,44.52,38.14,23.67,47.99,41.41,-3.98,16.37,71.69,47.57,38.61,59.97
62,63,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,127.0,0.033,384.0,512.0,44.47,37.97,28.04,48.07,37.53,-2.85,15.14,72.13,44.44,39.38,59.87
63,64,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),99%,1061.0,0.278,768.0,514.0,,36.38,23.55,52.39,42.16,-3.32,16.01,72.39,36.07,30.79,57.37
64,65,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),96%,238.0,0.125,768.0,512.0,44.04,38.09,26.56,46.98,40.38,-1.29,16.84,70.97,45.99,39.26,57.08
65,66,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,449.0,0.118,384.0,512.0,,42.33,48.68,53.1,37.63,-1.19,14.91,79.57,51.13,35.06,62.08
66,67,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),99%,127.0,0.033,512.0,512.0,43.76,37.72,23.63,47.37,39.93,-1.86,17.01,71.56,45.89,36.26,59.73
67,68,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,1659.0,0.435,1024.0,514.0,,35.65,25.25,47.86,41.06,-3.58,16.8,73.86,35.94,31.75,51.93
68,69,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),97%,2441.0,1.28,2048.0,2048.0,,39.13,31.88,48.97,38.86,-1.19,15.65,72.97,48.08,37.27,59.68
69,70,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),97%,2441.0,1.28,2048.0,2048.0,,38.91,32.22,49.33,39.81,-0.35,15.32,72.25,47.67,36.48,57.48
70,71,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),97%,2441.0,1.28,2048.0,2048.0,,39.02,30.26,48.65,39.77,-0.08,16.06,72.54,47.89,38.35,57.75
71,72,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),99%,449.0,0.118,384.0,512.0,,35.57,21.19,50.68,40.94,-4.4,16.59,73.71,34.88,31.05,55.46
72,73,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,,,1024.0,32000.0,,,64.5,59.12,43.86,,23.66,75.8,76.68,54.35,68.58
73,74,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,,39.39,31.39,49.78,42.32,-0.17,17.19,70.22,50.68,43.57,49.5
74,75,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,490.0,0.129,768.0,512.0,44.19,38.75,53.59,46.78,36.33,-3.52,17.9,74.25,42.81,28.51,52.06
75,76,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),92%,1885.0,0.494,896.0,512.0,,46.57,64.77,56.4,44.64,-1.5,15.3,75.45,51.07,52.68,60.32
76,77,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,475.0,0.124,768.0,514.0,,34.66,23.4,47.01,40.17,-3.44,15.03,73.24,34.44,30.39,51.69
77,78,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,492.0,0.129,768.0,512.0,42.83,37.77,59.29,45.54,35.29,-3.69,18.81,72.27,40.87,24.79,46.77
78,79,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,9560.0,2.506,2048.0,8192.0,37.27,29.58,4.23,54.57,39.15,0.74,16.21,67.8,33.66,13.05,36.78
79,80,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,415.0,0.109,768.0,512.0,41.99,35.56,20.11,46.99,37.53,-3.42,15.78,70.47,42.37,38.69,51.51
80,81,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),92%,1885.0,0.494,896.0,512.0,,45.37,64.22,55.6,44.55,-2.6,16.2,75.53,46.37,48.27,60.24
81,82,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),96%,58.0,0.03,384.0,512.0,42.48,36.3,25.26,46.28,38.27,-2.75,15.39,70.26,42.53,36.43,55.06
82,83,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,13563.0,7.111,,32768.0,,37.6,19.54,57.05,41.71,-0.09,21.81,71.08,48.85,29.93,48.52
83,84,[USER-base](https://huggingface.co/deepvk/USER-base),98%,473.0,0.427,768.0,512.0,42.18,36.95,44.81,45.67,32.97,-1.96,17.55,74.07,40.97,27.22,51.24
84,85,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),96%,,0.137,768.0,8192.0,,36.86,28.6,48.71,40.42,-3.75,17.36,67.94,45.04,38.51,48.91
85,86,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,87.0,0.023,384.0,256.0,41.39,35.12,20.09,46.2,37.47,-2.84,15.05,71.23,40.28,32.51,56.08
86,87,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),96%,522.0,0.137,768.0,8192.0,,36.67,28.37,48.86,40.81,-3.25,17.8,67.56,46.01,34.62,49.29
87,88,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),99%,15618.0,7.567,4096.0,1536.0,,58.82,82.44,63.52,47.78,7.4,22.15,83.56,79.86,63.33,79.3
88,89,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,73.0,0.019,384.0,512.0,,34.16,20.46,47.54,35.89,-3.83,14.69,67.65,37.48,30.54,57.01
89,90,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,,,46.84,57.71,44.36,,23.03,77.82,69.76,54.12,70.13
90,91,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),96%,1278.0,0.335,1024.0,512.0,,36.83,25.64,47.61,42.39,-1.81,17.54,68.07,47.08,38.05,46.89
91,92,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,449.0,0.118,384.0,256.0,,38.04,39.5,49.45,35.33,-3.97,14.22,76.32,46.33,26.99,58.16
92,93,[e5-large](https://huggingface.co/intfloat/e5-large),100%,1278.0,0.335,1024.0,512.0,,36.69,30.56,47.63,40.62,-2.33,16.31,69.61,44.19,36.35,47.29
93,94,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,,37.08,26.1,48.32,40.4,-1.39,16.42,67.72,48.03,40.25,47.85
94,95,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),96%,,0.137,768.0,8192.0,,36.87,27.41,48.43,39.1,-2.15,16.38,67.49,48.18,39.65,47.33
95,96,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,87.0,0.023,384.0,512.0,,35.05,20.09,46.18,37.89,-2.84,15.05,71.23,40.28,31.48,56.08
96,97,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,639.0,0.335,1024.0,512.0,,36.75,26.23,47.07,41.39,-1.29,17.91,67.54,48.87,35.82,47.18
97,98,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,,0.112,,4096.0,,35.53,27.86,49.65,38.09,-2.92,15.71,69.01,42.47,35.28,44.61
98,99,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),98%,1540.0,0.404,1024.0,512.0,,34.47,22.34,46.78,35.92,-3.53,10.02,72.53,40.52,32.68,52.97
99,100,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,1061.0,0.278,768.0,514.0,,35.03,26.73,50.18,41.72,-2.76,15.5,69.83,38.13,31.89,44.09
100,101,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,,0.109,,512.0,,35.34,25.09,48.06,41.51,-3.27,15.82,67.47,43.86,32.73,46.81
101,102,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,127.0,0.033,384.0,512.0,,35.44,23.12,48.73,40.87,-2.53,16.9,67.48,43.59,34.73,46.03
102,103,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),96%,418.0,0.109,768.0,512.0,,36.04,25.88,47.3,42.26,-3.35,16.71,67.41,45.64,35.76,46.72
103,104,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,1281.0,0.336,1024.0,512.0,,32.18,22.88,44.16,33.23,-2.51,15.67,71.67,31.65,21.8,51.05
104,105,[e5-base](https://huggingface.co/intfloat/e5-base),100%,418.0,0.109,768.0,512.0,,35.37,29.55,47.14,38.69,-3.49,16.14,67.68,41.49,35.22,45.95
105,106,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),97%,127.0,0.033,384.0,512.0,,35.33,22.96,46.9,40.23,-1.68,16.74,67.05,45.01,34.44,46.29
106,107,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),96%,127.0,0.033,384.0,512.0,,35.11,23.36,46.97,40.47,-2.75,16.79,67.29,43.25,34.66,45.98
107,108,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,209.0,0.109,768.0,512.0,,35.71,25.3,46.61,41.45,-2.45,16.15,67.09,46.94,33.09,47.24
108,109,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),99%,111.0,0.029,312.0,2048.0,38.77,34.27,42.63,41.8,29.26,-2.28,15.89,73.2,38.92,21.26,47.79
109,110,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,64.0,0.033,384.0,512.0,,35.48,23.94,46.73,40.28,-1.57,16.27,67.25,45.77,33.63,47.07
110,111,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,66.0,0.017,384.0,512.0,,32.7,19.37,44.84,34.48,-1.8,13.49,67.43,35.22,26.16,55.08
111,112,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,408.0,0.107,768.0,512.0,34.37,29.3,16.49,43.38,29.97,0.26,13.7,70.45,35.13,9.16,45.19
112,113,[e5-small](https://huggingface.co/intfloat/e5-small),100%,127.0,0.033,384.0,512.0,,34.63,28.07,45.94,36.3,-1.45,15.22,69.05,39.3,34.17,45.09
113,114,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),98%,27126.0,7.153,4096.0,32768.0,,,,56.95,41.26,-0.85,39.28,73.49,55.46,41.18,53.91
114,115,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),99%,112.0,0.029,312.0,2048.0,34.81,30.2,22.65,41.17,29.16,-0.09,15.27,69.6,34.58,14.35,45.13
115,116,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,87.0,0.023,384.0,512.0,,34.7,22.85,48.03,37.56,-2.22,15.63,67.4,44.07,32.33,46.64
116,117,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,1274.0,0.335,1024.0,512.0,,34.35,22.56,46.69,35.95,-1.49,16.02,67.47,44.27,36.84,40.86
